
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8831  [2408:8220:1710:1330::272]:41823  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8833  [2408:8256:3500:1e8:2e0:61ff:fe60:2ea]:51413  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8840  [2409:8a20:ed0:24c0:23d:ad54:96eb:8a2d]:45021  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8842  [2409:8a0c:1430:af60:c8e7:e1f3:c7fe:fb4e]:39043  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8860  [2409:8a28:70b9:ff84:6fe1:ca95:4305:6fa8]:34135  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8862  [240e:460:3400:773:fcd1:48ff:fe14:6495]:51413  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8875  [2409:8a20:ed0:24c0:a0de:f1a:12a:2]:45369  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8876  [2409:8a28:70b9:ff84::c57]:38641  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8879  [2409:8a20:4ee3:b981::24f]:37221  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8898  [2408:8220:b17:c60:953e:70a3:e5ef:fc3d]:36099  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8899  [240e:3b3:56da:c80::de]:16881  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8915  [2408:8220:1710:1330::272]:41823  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8917  [2408:8256:3500:1e8:2e0:61ff:fe60:2ea]:51413  TIME_WAIT       0
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8930  [2409:8a20:ed0:24c0:23d:ad54:96eb:8a2d]:45021  ESTABLISHED     10488
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:8931  [2409:8a0c:1430:af60:c8e7:e1f3:c7fe:fb4e]:39043  SYN_SENT        10488
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:12673  [2408:871a:2100:157e:0:ff:b087:b18e]:80  CLOSE_WAIT      19380
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:14036  [::]:0                 LISTENING       10488
  TCP    [fe80::5cd:2936:c7f5:38ae%32]:14036  [::]:0                 LISTENING       10488
  TCP    [fe80::8354:5ca1:5775:b667%27]:14036  [::]:0                 LISTENING       10488
  TCP    [fe80::c032:fbb7:1272:c8a8%28]:14036  [::]:0                 LISTENING       10488
  TCP    [fe80::d55c:ccd0:f479:84f3%33]:14036  [::]:0                 LISTENING       10488
  UDP    0.0.0.0:53             *:*                                    4744
  UDP    0.0.0.0:123            *:*                                    14152
  UDP    0.0.0.0:500            *:*                                    4716
  UDP    0.0.0.0:1900           *:*                                    11404
  UDP    0.0.0.0:3389           *:*                                    1052
  UDP    0.0.0.0:4500           *:*                                    4716
  UDP    0.0.0.0:5050           *:*                                    12348
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    3180
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    17644
  UDP    0.0.0.0:5353           *:*                                    6120
  UDP    0.0.0.0:5355           *:*                                    3180
  UDP    0.0.0.0:6000           *:*                                    6332
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    11404
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    11404
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6771           *:*                                    10488
  UDP    0.0.0.0:6881           *:*                                    11404
  UDP    0.0.0.0:8746           *:*                                    19380
  UDP    0.0.0.0:8871           *:*                                    19380
  UDP    0.0.0.0:50365          *:*                                    4744
  UDP    0.0.0.0:50366          *:*                                    4744
  UDP    0.0.0.0:51752          *:*                                    3180
  UDP    0.0.0.0:54667          *:*                                    3180
  UDP    0.0.0.0:56291          *:*                                    3180
  UDP    0.0.0.0:56933          *:*                                    3180
  UDP    0.0.0.0:57476          *:*                                    3180
  UDP    0.0.0.0:62839          *:*                                    3180
  UDP    0.0.0.0:63873          *:*                                    11404
  UDP    0.0.0.0:64036          *:*                                    3180
  UDP    0.0.0.0:64761          104.18.36.122:443                      22028
  UDP    127.0.0.1:1900         *:*                                    5708
  UDP    127.0.0.1:1900         *:*                                    11404
  UDP    127.0.0.1:6771         *:*                                    11404
  UDP    127.0.0.1:14036        *:*                                    10488
  UDP    127.0.0.1:53352        127.0.0.1:53352                        4940
  UDP    127.0.0.1:53579        *:*                                    6140
  UDP    127.0.0.1:53580        *:*                                    6140
  UDP    127.0.0.1:53842        *:*                                    5708
  UDP    127.0.0.1:58989        *:*                                    6140
  UDP    127.0.0.1:63871        *:*                                    11404
  UDP    127.0.0.1:63877        *:*                                    11404
  UDP    172.24.0.1:67          *:*                                    4744
  UDP    172.24.0.1:68          *:*                                    4744
  UDP    172.24.0.1:137         *:*                                    4
  UDP    172.24.0.1:138         *:*                                    4
  UDP    172.24.0.1:1900        *:*                                    5708
  UDP    172.24.0.1:1900        *:*                                    11404
  UDP    172.24.0.1:6771        *:*                                    11404
  UDP    172.24.0.1:14036       *:*                                    10488
  UDP    172.24.0.1:53843       *:*                                    5708
  UDP    172.24.0.1:63872       *:*                                    11404
  UDP    172.24.0.1:63878       *:*                                    11404
  UDP    172.31.208.1:53583     *:*                                    6140
  UDP    192.168.10.6:137       *:*                                    4
  UDP    192.168.10.6:138       *:*                                    4
  UDP    192.168.10.6:1900      *:*                                    5708
  UDP    192.168.10.6:1900      *:*                                    11404
  UDP    192.168.10.6:1900      *:*                                    10488
  UDP    192.168.10.6:5657      *:*                                    17300
  UDP    192.168.10.6:6771      *:*                                    11404
  UDP    192.168.10.6:14036     *:*                                    10488
  UDP    192.168.10.6:50845     *:*                                    10488
  UDP    192.168.10.6:53839     *:*                                    5708
  UDP    192.168.10.6:58603     *:*                                    17300
  UDP    192.168.10.6:58988     *:*                                    10488
  UDP    192.168.10.6:63868     *:*                                    11404
  UDP    192.168.10.6:63874     *:*                                    11404
  UDP    192.168.91.1:137       *:*                                    4
  UDP    192.168.91.1:138       *:*                                    4
  UDP    192.168.91.1:1900      *:*                                    11404
  UDP    192.168.91.1:1900      *:*                                    5708
  UDP    192.168.91.1:6771      *:*                                    11404
  UDP    192.168.91.1:14036     *:*                                    10488
  UDP    192.168.91.1:53841     *:*                                    5708
  UDP    192.168.91.1:63870     *:*                                    11404
  UDP    192.168.91.1:63876     *:*                                    11404
  UDP    192.168.221.1:137      *:*                                    4
  UDP    192.168.221.1:138      *:*                                    4
  UDP    192.168.221.1:1900     *:*                                    11404
  UDP    192.168.221.1:1900     *:*                                    5708
  UDP    192.168.221.1:6771     *:*                                    11404
  UDP    192.168.221.1:14036    *:*                                    10488
  UDP    192.168.221.1:53840    *:*                                    5708
  UDP    192.168.221.1:63869    *:*                                    11404
  UDP    192.168.221.1:63875    *:*                                    11404
  UDP    [::]:123               *:*                                    14152
  UDP    [::]:500               *:*                                    4716
  UDP    [::]:3389              *:*                                    1052
  UDP    [::]:4500              *:*                                    4716
  UDP    [::]:5353              *:*                                    6120
  UDP    [::]:5353              *:*                                    6120
  UDP    [::]:5353              *:*                                    3180
  UDP    [::]:5353              *:*                                    17644
  UDP    [::]:5353              *:*                                    6120
  UDP    [::]:5353              *:*                                    17644
  UDP    [::]:5353              *:*                                    17644
  UDP    [::]:5353              *:*                                    17644
  UDP    [::]:5353              *:*                                    6120
  UDP    [::]:5355              *:*                                    3180
  UDP    [::]:6000              *:*                                    6332
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    11404
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6771              *:*                                    10488
  UDP    [::]:6881              *:*                                    11404
  UDP    [::]:8871              *:*                                    19380
  UDP    [::]:50367             *:*                                    4744
  UDP    [::]:51752             *:*                                    3180
  UDP    [::]:54667             *:*                                    3180
  UDP    [::]:56291             *:*                                    3180
  UDP    [::]:56933             *:*                                    3180
  UDP    [::]:57476             *:*                                    3180
